number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_std,state
75,0.910398306683156,2026-09-18 20:31:45.429663,2026-09-18 20:31:47.375299,0 days 00:00:01.945636,0.6245850149999643,0.8595645519207388,0.0012708703584082116,0.08678091394580144,6,3,0.8760404996394071,700,1.3551439326441796,22.202909326032014,0.8784734165729812,0.023202699137504758,COMPLETE
76,0.907105906151234,2026-09-18 20:31:47.375728,2026-09-18 20:31:51.367808,0 days 00:00:03.992080,0.8212692636236899,0.7926165424955349,0.013309325228002962,0.014686159691997876,4,7,4.853423320086001,900,1.9144576945474063,16.601132299467107,0.9208463669194507,0.02252138469825748,COMPLETE
77,0.9068732338046978,2026-09-18 20:31:51.368327,2026-09-18 20:31:56.329050,0 days 00:00:04.960723,0.9067054369921109,0.734074430910898,0.06297425106324103,0.011717139640124915,8,6,1.4047686909256527,850,2.267393262537619,6.708706915451246,0.9618203246317928,0.0234263194515004,COMPLETE
78,0.9054287610911149,2026-09-18 20:31:56.329630,2026-09-18 20:32:01.332164,0 days 00:00:05.002534,0.9372535797688548,0.964505991522814,0.13437383559202937,0.012545656695809114,4,5,1.4917157155672958,800,0.9097268693324969,25.442062402097665,0.9993370289930076,0.02223314799973099,COMPLETE
79,0.9142159491969885,2026-09-18 20:32:01.332482,2026-09-18 20:32:05.907105,0 days 00:00:04.574623,0.8491911505302574,0.8320209863283523,0.05842832636324162,0.018949363415731914,1,5,0.7319981575887913,900,0.16416504925710715,3.830746819284931,0.8852021982043043,0.01888756517740199,COMPLETE
80,0.9122743296647595,2026-09-18 20:32:05.909149,2026-09-18 20:32:08.961112,0 days 00:00:03.051963,0.9585606173713872,0.8981130906868802,0.08893514094129275,0.01490765673567017,2,3,1.0318250971072689,900,0.07278204843076769,6.478307739021836,0.8629838364709776,0.020094533056830344,COMPLETE
81,0.9130466302954021,2026-09-18 20:32:08.961631,2026-09-18 20:32:11.136949,0 days 00:00:02.175318,0.793253914555417,0.8562626301514434,0.29241101444407064,0.02707800904791903,2,3,0.9819519149570349,700,0.08900159151763781,3.7879605157283534,0.8579113336908959,0.020077513442376904,COMPLETE
82,0.9121433483988491,2026-09-18 20:32:11.137347,2026-09-18 20:32:12.754316,0 days 00:00:01.616969,0.8894118993907769,0.8904521173387994,1.5055752296720533,0.04632454348144451,3,2,1.1971424996431603,800,0.26714892301822873,7.379708542124907,0.7809990350742405,0.023530946532735884,COMPLETE
83,0.9110568581290132,2026-09-18 20:32:12.754888,2026-09-18 20:32:14.144388,0 days 00:00:01.389500,0.8821772089621991,0.8569577263340419,1.092151040602778,0.07498516704822342,5,3,0.6430611184754427,800,0.04154523895047538,1.1384486789475274,0.7292410612976887,0.020371659357475397,COMPLETE
84,0.9114003161945934,2026-09-18 20:32:14.144857,2026-09-18 20:32:17.081261,0 days 00:00:02.936404,0.9777390974022027,0.8911608278842755,0.2671775325815042,0.0327566456840113,0,3,0.503308894548734,900,0.034437138212676174,7.319142528228256,0.9156056757464938,0.019745956092908596,COMPLETE
