MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score
VINOD KUMAR BIND,Gandhi Construction And Supplier,46.15,False,False,False,False,0
Dr. Kalpana Saini (2022-28),L D CONSTRUCTION,24.86,False,False,False,False,0
K. C VENUGOPAL,Multiline Ventures,26.41,False,False,False,False,0
Smt. Sumitra Balmik (2022-28),MS MANMOHAN SINGH KSHATRI,6.07,False,False,False,False,0
SMITA UDAY WAGH,GURUDATTA GAWANDI KAMGAR MAJOOR SAHAKARI SOCIETY LIMITED,28.5,False,False,False,False,0
Shri Rajib Bhattacharjee (2024-28),Jain Udyog,13.29,False,False,False,False,0
Shri V. Vijayendra Prasad (2022-28),GOLLA SURESH KUMAR,21.84,False,False,False,False,0
Mala Roy ,GOUTAM CONSTRUCTION,16.24,False,False,False,False,0
Shri Dhananjay Bhimrao Mahadik (2022-28),RAI INDUSTRIES,10.31,False,False,False,False,0
Shri Pabitra Margherita (2022-28),MS Allied Construction Co,7.84,False,False,False,False,0
SELVARAJ V,DAWOOD ENTERPRISES,17.66,False,False,False,False,0
Shri Ramji (2020-26),SHRI SAI ELECTRICAL SUPPLIERS CONTRACTOR,39.78,False,False,False,False,0
Bansuri Swaraj,Swing Craft,22.07,False,False,False,False,0
RAMASHANKAR RAJBHAR,GAURI ENTER PRISES,17.8,False,False,False,False,0
AGA SYED RUHULLAH MEHDI,Alyas ahmad mir,12.86,False,False,False,False,0
K Subbarayan,EAGGLE EYE INFRASTRUCTURES,8.28,False,False,False,False,0
Shri Jayant Chaudhary (2022-28),Vaid Associates,24.17,False,False,False,False,0
Shri Jose K. Mani (2024-30),VE Commercial Vehicles Ltd,10.83,False,False,False,False,0
RAJEEV RAI,BIHARI JI MAHADEV ASSOCIATES,21.72,False,False,False,False,0
Kanimozhi Karunanidhi,Antony Selvan M,9.84,False,False,False,False,0
SUDAMA PRASAD,RANJIT SALES CORPORATION,47.65,False,False,False,False,0
Smt. Sagarika Ghose (2024-30),KHIVRAJ MOTORS,53.36,False,False,False,False,0
KUNDURU RAGHUVEER,ALLIED SURGICALS,49.83,False,False,False,False,0
Vijay Kumar Dubey,MAHI ENTERPRISES,66.84,False,False,False,False,0
NEERAJ MAURYA,SHRI GURU KRIPA NARSINGH ASSOCIATES,60.61,False,False,False,False,0
Sasikanth Senthil,L G Arasu,20.8,False,False,False,False,0
Ashok Kumar Yadav ,BIOLUNAR ENERGY SOLUTION,44.98,False,False,False,False,0
Mahendra Singh Solanky,CEO Janpad Panchayat Dewas,17.68,False,False,False,False,0
KALI CHARAN MUNDA,ASSISTANT ENGINEER ZILA PARISHAD KHUNTI,38.75,False,False,False,False,0
Shri Amar Pal Maurya (2024-30),NARAYAN MARBLES,22.14,False,False,False,False,0
Smt. P. T. Usha (2022-28),SML ISUZU LTD,7.56,False,False,False,False,0
Shri Shambhu Sharan Patel (2022-28),Anil Electricals,30.0,False,False,False,False,0
MANOHAR LAL,The Bandh Coop LC Soc Ltd Bandh,36.91,False,False,False,False,0
Shri Kanad Purkayastha (2025-31),ABDUL KALAM BARBHUIYA,33.77,False,False,False,False,0
Om Birla,MUNDRA AUTOMOBILES PRIVATE LIMITED,12.14,False,False,False,False,0
BRIJENDRA SINGH OLA,Sangeet Contractor,9.07,False,False,False,False,0
Smt Satabdi Roy (Banerjee),GOODWILL COMMERCIAL,19.22,False,False,False,False,0
Shri Kesridevsinh Jhala (2023-29),JEDA ENTERPRISE,20.63,False,False,True,False,1
Chandra Prakash Joshi,KRISHNA BRICKS,19.76,False,False,False,False,0
